s77780_fo_Us, us_err, T, T_err, R, R_err, P, P_err 
11.9,0.12390611,5091.2676,306.34528,0.0048266132,0.0025213773,0.19373948247,0.0181917817093,
12.0,0.12390611,5238.9463,363.42624,0.0049283765,0.0023830479,0.198137453373,0.0183779724317,
12.1,0.12390611,5256.8574,287.51859,0.0057797437,0.0025345713,0.202434336367,0.0182636635574,
12.2,0.12390611,5406.3765,310.99066,0.0061523514,0.0031879647,0.206907730802,0.0177555558311,
12.3,0.12390611,5408.4219,304.20871,0.0055263257,0.0030288859,0.211261512672,0.0182500718744,
12.4,0.12390611,5758.2646,326.40887,0.0052487552,0.0030098932,0.21584254864,0.0187126768146,
12.5,0.12390611,6009.8779,364.44812,0.0051731574,0.0030850843,0.219681228072,0.0187633676614,
12.6,0.12390611,6340.9741,381.6059,0.0055746627,0.0032518816,0.224666572111,0.0180824313002,
12.7,0.12390611,5823.8652,379.63382,0.0053662118,0.0032129497,0.229758089968,0.0190611873468,
12.8,0.12390611,6447.0435,368.97574,0.0050941138,0.0030594396,0.233334941878,0.01895368529,
12.9,0.12390611,6717.0249,362.66403,0.006589442,0.0034852733,0.239275404602,0.0184799657583,
13.0,0.12390611,6814.0918,382.01474,0.006752857,0.003978855,0.243677110817,0.0189353104334,
13.1,0.12390611,6785.6069,355.65198,0.0063409302,0.0032090542,0.247642655661,0.0182952471694,
13.2,0.12390611,7166.8667,307.91394,0.0056147561,0.0029877506,0.253447702199,0.0200244777027,
13.3,0.12390611,7092.6919,317.76633,0.0047416557,0.0026166057,0.258600955075,0.0196050015029,
13.4,0.12390611,7178.6772,310.49454,0.005223827,0.0026765792,0.263316902129,0.0182660021187,
13.5,0.12390611,7293.6953,339.332,0.0054480257,0.0025985658,0.267901248607,0.0193713649367,
13.6,0.12390611,7424.7559,340.84229,0.0054450594,0.0026161275,0.273965328967,0.0193820508444,
13.7,0.12390611,7501.2798,374.93655,0.0058211279,0.003710259,0.279368100932,0.019836342681,
13.8,0.12390611,7654.4917,396.39926,0.0060856557,0.0037673581,0.283850612542,0.0197941284502,
13.9,0.12390611,7770.0376,423.50757,0.0073362454,0.003390952,0.288816488744,0.0232356689545,
14.0,0.12390611,8012.8706,267.78937,0.0062940591,0.0035338041,0.295390185435,0.020990575839,
14.1,0.12390611,7997.1694,439.1918,0.0065562706,0.0033101384,0.299885526077,0.0198129702055,
14.2,0.12390611,8466.7666,422.70755,0.0075825183,0.0038664397,0.30523530788,0.0208852681415,
14.3,0.12390611,8442.6982,394.97491,0.0093356026,0.0045521921,0.310760616014,0.0204470286341,
14.4,0.12390611,8641.9189,335.42307,0.010309714,0.0055149714,0.316744558088,0.0208549283205,
14.5,0.12390611,8973.6846,393.17685,0.010241077,0.0049341447,0.322862523436,0.0207984365391,
14.6,0.12390611,8985.7861,385.70901,0.012944621,0.0055291955,0.327993638018,0.0206414560654,
14.7,0.12390611,9221.0225,400.00259,0.015572215,0.0068962974,0.3330044746,0.0201821320712,
14.8,0.12390611,9572.208,319.40909,0.015344373,0.0059093065,0.339684831503,0.0217796395726,
14.9,0.12390611,9736.9258,476.10651,0.01458117,0.0052479981,0.345359333331,0.0227572066898,
15.0,0.12390611,9800.6855,461.37073,0.016165458,0.006096717,0.351036883571,0.0208313717857,
15.1,0.12390611,10275.316,426.50531,0.020630307,0.0080834068,0.357241341789,0.022133397119,
15.2,0.12390611,10386.345,438.60309,0.023182053,0.0073889089,0.362591778706,0.0211586275875,
15.3,0.12390611,10490.031,414.47321,0.022140173,0.0067357039,0.369434082685,0.0218134329028,
15.4,0.12390611,10786.142,408.95563,0.019930547,0.0061344393,0.374776710554,0.0212350436596,
15.5,0.12390611,11154.128,448.52325,0.021972222,0.0078667486,0.379824455975,0.0226148961739,
15.6,0.12390611,11147.633,416.20169,0.020050332,0.008947948,0.387145668839,0.0220389663608,
15.7,0.12390611,11526.59,439.32294,0.020908739,0.010449317,0.394360241412,0.0226841581457,
15.8,0.12390611,11714.069,492.63635,0.021765519,0.011213069,0.400290878645,0.0225359781289,
15.9,0.12390611,11792.117,426.00101,0.023942864,0.012115943,0.406215749718,0.0238177548914,
16.0,0.12390611,11952.466,377.9747,0.025342658,0.014229792,0.41296761159,0.0249821920719,
16.1,0.12390611,12086.945,395.09647,0.026450748,0.015967544,0.420776893944,0.0250418621908,
