Gamma, G_e, Density, rho_e , q, q_e 
1.03148504657,0.2828722768,5881.82463037,276.288358288,-8.7805270396e-07,0.0177936273919
1.01609876066,0.27792888869,5917.49018005,245.384556345,-2.54618171719e-06,0.0187302731587
0.951331053006,0.27529332402,6015.14259461,117.6569031,-2.309461875e-06,0.0187104995645
0.957096312112,0.275495904938,6020.46634943,128.359185514,-3.58273337041e-06,0.018942301776
1.01685401302,0.281024713578,5680.63136599,107.330639347,-1.47470163547e-05,0.0189325229587
0.953761314809,0.266041942927,5819.86953414,91.0534309031,-0.0381301406974,0.0189743334646
0.815051077842,0.247948988907,6208.86858946,122.309131315,-0.0381301406974,0.0189889274945
0.737444189297,0.225283439171,6362.83806377,104.686402965,-0.0381301406974,0.0181510623999
0.877540549722,0.261491998573,6431.57718747,131.783390116,-1.19448019378e-06,0.0177478311337
0.898043286487,0.258063389801,6541.06540694,145.3218308,-7.92442565324e-07,0.0171554033891
