s77776_fo_Us, us_err, T, T_err, R, R_err, P, P_err 
13.7,0.12390611,7307.5381,514.51837,0.014830303,0.0044490909,0.278422722647,0.0196739641064,
13.8,0.12390611,8042.3477,546.87195,0.012095261,0.0036285785,0.283964270741,0.0200078099564,
13.9,0.12390611,8369.5332,539.44653,0.010004627,0.0030013879,0.289357659273,0.0206656019451,
14.0,0.12390611,8193.8516,644.66199,0.010318697,0.0030956091,0.294881245999,0.0199705982638,
14.1,0.12390611,8485.6807,602.05219,0.01125789,0.0033773668,0.29949442221,0.0200826674542,
14.2,0.12390611,8469.0322,590.9848,0.012286054,0.0036858162,0.305302268057,0.0199524361454,
14.3,0.12390611,8690.0479,524.70673,0.012800545,0.0038401634,0.310676017256,0.0200633738133,
14.4,0.12390611,9264.7324,648.80109,0.013118616,0.0039355848,0.316377763711,0.0210917130911,
14.5,0.12390611,9040.8545,579.29156,0.015897332,0.0047691995,0.322659109067,0.0226712641457,
14.6,0.12390611,9516.9834,533.9046,0.015041333,0.0045123999,0.328120879572,0.0204142878212,
14.7,0.12390611,9643.2559,551.5271,0.014787673,0.004436302,0.333601612545,0.0220385606072,
14.8,0.12390611,9921.2559,518.03406,0.017531559,0.0052594678,0.339096030059,0.020549546967,
14.9,0.12390611,10242.73,594.22559,0.019178487,0.005753546,0.344862673454,0.0227985530525,
15.0,0.12390611,10454.48,623.46466,0.028263807,0.0084791426,0.350590104223,0.0213412740398,
15.1,0.12390611,10640.804,597.38007,0.029990327,0.0089970976,0.356629058127,0.0208283282979,
15.2,0.12390611,10933.076,601.81384,0.027337063,0.0082011186,0.362960825293,0.0216104128609,
15.3,0.12390611,11147.679,631.646,0.028853459,0.008656038,0.367513967391,0.0216244803475,
15.4,0.12390611,11334.259,657.7934,0.032029085,0.0096087251,0.374942067511,0.022210914835,
15.5,0.12390611,11600.753,642.07861,0.025386024,0.0076158075,0.381404942074,0.0230237780078,
15.6,0.12390611,11897.142,735.98981,0.029737098,0.0089211296,0.386749860719,0.0214359829362,
15.7,0.12390611,12037.849,640.70166,0.027809907,0.008342972,0.391895293312,0.0223600525018,
15.8,0.12390611,12264.437,625.57263,0.024795473,0.007438642,0.399465823589,0.021979922723,
15.9,0.12390611,12652.863,751.18048,0.029430766,0.0088292295,0.407884590896,0.024650489017,
16.0,0.12390611,12875.052,685.80768,0.027402697,0.0082208095,0.410136964697,0.0229996091016,
16.1,0.12390611,12849.653,719.20612,0.026870219,0.0080610653,0.41921640958,0.0224467766436,
16.200001,0.12390611,12969.643,749.24628,0.032212459,0.0096637374,0.425954281994,0.0229760659244,
16.299999,0.12390611,12988.935,745.57025,0.032276466,0.0096829403,0.431476967512,0.0227702009108,
16.4,0.12390611,13447.923,644.40436,0.030453555,0.0091360668,0.438845726541,0.02224841452,
16.5,0.12390611,13648.747,751.30829,0.032851711,0.0098555135,0.446894115245,0.0246986786567,
16.6,0.12390611,13787.592,720.19592,0.040246673,0.012074002,0.451888061004,0.0243340698509,
16.700001,0.12390611,14212.423,807.50183,0.045719948,0.013715984,0.45821204358,0.0242225660995,
16.799999,0.12390611,14230.763,782.69995,0.053927392,0.016178217,0.465651940215,0.0252278609413,
16.9,0.12390611,14915.936,711.61493,0.061956253,0.018586876,0.472782176165,0.0241270751151,
17.0,0.12390611,15402.177,855.51233,0.065525055,0.019657517,0.480112446711,0.0246004067291,
17.1,0.12390611,15838.599,879.87537,0.063434221,0.019030266,0.486973839472,0.0240165836657,
17.200001,0.12390611,16001.27,821.14508,0.07022962,0.021068886,0.493294626976,0.0245666604562,
17.299999,0.12390611,16075.98,851.92786,0.074584231,0.022375269,0.50078520161,0.0260884704299,
17.4,0.12390611,16375.597,850.71899,0.083914444,0.025174333,0.506338450249,0.025053156849,
17.5,0.12390611,16940.533,989.96826,0.083681196,0.025104359,0.514222067309,0.024340943118,
17.6,0.12390611,17324.463,857.27136,0.091770977,0.027531292,0.522556595442,0.0250319406509,
17.700001,0.12390611,17709.822,926.04486,0.091051906,0.027315572,0.529441014919,0.0247327188348,
17.799999,0.12390611,17814.496,874.85645,0.091948159,0.027584448,0.537109134362,0.0252339687294,
17.9,0.12390611,18426.604,1059.2737,0.092751242,0.027825372,0.543370951894,0.0251814332007,
18.0,0.12390611,18620.316,1035.5352,0.094598509,0.028379552,0.551956685696,0.0257311722854,
18.1,0.12390611,18644.738,1052.7675,0.0887243,0.02661729,0.560104643832,0.0263439470794,
18.200001,0.12390611,18770.607,936.073,0.082385324,0.024715597,0.567230048729,0.0261673045126,
18.299999,0.12390611,19151.518,970.82281,0.089553207,0.026865963,0.574272914526,0.0259258087073,
18.4,0.12390611,19693.686,1026.6436,0.099529713,0.029858913,0.581633471414,0.0271938460519,
18.5,0.12390611,19861.123,897.23505,0.10918301,0.032754902,0.588869321455,0.0271990653353,
18.6,0.12390611,20352.191,1041.9259,0.11771174,0.035313521,0.597959189635,0.0280387965144,
18.700001,0.12390611,20540.85,1146.7703,0.1269574,0.038087219,0.605766006567,0.0273473618666,
18.799999,0.12390611,21257.219,1127.506,0.13624275,0.040872823,0.613178173076,0.0268737432256,
18.9,0.12390611,21468.141,1265.6448,0.14552827,0.04365848,0.621587748073,0.0257229899428,
19.0,0.12390611,21587.672,1321.3826,0.1548138,0.04644414,0.629912006064,0.0280308778519,
19.1,0.12390611,21937.041,1284.6552,0.16409931,0.049229793,0.637348146736,0.0268667911614,
19.200001,0.12390611,22680.727,1706.9525,0.17338485,0.052015454,0.646062534902,0.0267720981947,
